date,province,quarantine,released,deceased,confirmed
2020-01-20,Seoul,,,0,0
2020-01-21,Seoul,,,0,0
2020-01-22,Seoul,,,0,0
2020-01-23,Seoul,,,0,1
2020-01-24,Seoul,,,0,1
2020-01-25,Seoul,,,0,1
2020-01-26,Seoul,,,0,1
2020-01-27,Seoul,,,0,1
2020-01-28,Seoul,,,0,1
2020-01-29,Seoul,,,0,1
2020-01-30,Seoul,,,0,4
2020-01-31,Seoul,,,0,7
2020-02-01,Seoul,,,0,7
2020-02-02,Seoul,,,0,7
2020-02-03,Seoul,,,0,7
2020-02-04,Seoul,,,0,7
2020-02-05,Seoul,,,0,9
2020-02-06,Seoul,,,0,10
2020-02-07,Seoul,,,0,10
2020-02-08,Seoul,,,0,10
2020-02-09,Seoul,,,0,10
2020-02-10,Seoul,,,0,10
2020-02-11,Seoul,,,0,10
2020-02-12,Seoul,,,0,10
2020-02-13,Seoul,,,0,10
2020-02-14,Seoul,,,0,10
2020-02-15,Seoul,,,0,10
2020-02-16,Seoul,,,0,11
2020-02-17,Seoul,,,0,12
2020-02-18,Seoul,,,0,12
2020-02-19,Seoul,,,0,13
2020-02-20,Seoul,,,0,14
2020-02-21,Seoul,,,0,21
2020-02-22,Seoul,,,0,24
2020-02-23,Seoul,,,0,25
2020-02-24,Seoul,,,0,30
2020-02-25,Seoul,,,0,36
2020-02-26,Seoul,,,0,45
2020-02-27,Seoul,,,0,55
2020-02-28,Seoul,,,0,62
2020-02-29,Seoul,,,0,74
2020-03-01,Seoul,,,0,82
2020-03-02,Seoul,,,0,91
2020-03-03,Seoul,,,0,98
2020-03-04,Seoul,,,0,99
2020-03-05,Seoul,78,25,0,103
2020-03-06,Seoul,80,26,0,106
2020-03-07,Seoul,81,27,0,108
2020-03-08,Seoul,92,28,0,120
2020-03-09,Seoul,101,29,0,130
2020-03-10,Seoul,110,31,0,141
2020-03-11,Seoul,156,37,0,193
2020-03-12,Seoul,174,38,0,212
2020-03-13,Seoul,185,40,0,225
2020-03-14,Seoul,194,44,0,238
2020-03-15,Seoul,200,47,0,247
2020-03-16,Seoul,201,52,0,253
2020-03-17,Seoul,210,55,0,265
2020-03-18,Seoul,215,55,0,270
2020-03-19,Seoul,224,58,0,282
2020-03-20,Seoul,235,64,0,299
2020-03-21,Seoul,250,64,0,314
2020-03-22,Seoul,260,64,0,324
2020-03-23,Seoul,266,64,0,330
2020-03-24,Seoul,262,72,0,334
2020-03-25,Seoul,275,72,0,347
2020-03-26,Seoul,280,80,0,360
2020-03-27,Seoul,283,89,0,372
2020-03-28,Seoul,297,93,0,390
2020-03-29,Seoul,317,93,0,410
2020-03-30,Seoul,334,92,0,426
2020-03-31,Seoul,343,107,0,450
2020-04-01,Seoul,357,117,0,474
2020-04-02,Seoul,361,127,0,488
2020-04-03,Seoul,375,131,0,506
2020-04-04,Seoul,384,144,0,528
2020-04-05,Seoul,407,145,0,552
2020-04-06,Seoul,412,151,0,563
2020-04-07,Seoul,403,164,0,567
2020-04-08,Seoul,407,169,2,578
2020-04-09,Seoul,414,174,2,590
2020-04-10,Seoul,408,185,2,595
2020-04-11,Seoul,402,195,2,599
2020-04-12,Seoul,398,202,2,602
2020-04-13,Seoul,394,214,2,610
